Split,Model,Accuracy,Precision,Recall,F1
70-30,KNN,0.9506493506493506,0.9528221517313763,0.9506493506493506,0.9505997849944637
70-30,Logistic Regression,0.9831168831168832,0.9835525900319096,0.9831168831168832,0.983131789619421
70-30,SVM,0.9714285714285714,0.9720028070293482,0.9714285714285714,0.9713736285920157
80-20,Naive Bayes,0.8064806480648065,0.8582378655624657,0.8064806480648065,0.8065540398809627
80-20,Decision Tree,0.873087308730873,0.8736681925612406,0.873087308730873,0.8727607008457504
80-20,XGBoost,0.9261926192619262,0.9264780425422781,0.9261926192619262,0.9261252903411527
80-20,Random Forest,0.9495949594959496,0.951621403361979,0.9495949594959496,0.9496622447288766
80-20,KNN,0.9513951395139514,0.9520106535510356,0.9513951395139514,0.9513782930900785
80-20,Logistic Regression,0.9585958595859586,0.9594704066059571,0.9585958595859586,0.9587528199932747
80-20,SVM,0.9684968496849685,0.9687874881056703,0.9684968496849685,0.9684170699142348
80-20,Naive Bayes,0.8001885014137606,0.805382137336487,0.8001885014137606,0.7959998132156328
80-20,Decision Tree,0.9000942507068803,0.9026750973835288,0.9000942507068803,0.8993346170225001
80-20,XGBoost,0.9227144203581527,0.9225948850616102,0.9227144203581527,0.9224749871691257
80-20,Random Forest,0.9180018850141376,0.9180946155841471,0.9180018850141376,0.9178412381097457
80-20,KNN,0.942507068803016,0.9436516678426878,0.942507068803016,0.9425386733160976
80-20,Logistic Regression,0.9707822808671065,0.9711321847552089,0.9707822808671065,0.9706857794820972
80-20,SVM,0.9773798303487277,0.9782297017825833,0.9773798303487277,0.9773976428936235
80-20,Naive Bayes,0.8537956888472352,0.8869052792896484,0.8537956888472352,0.8431265656882712
80-20,Decision Tree,0.9353327085285849,0.9355071605876537,0.9353327085285849,0.934862761645774
80-20,XGBoost,0.9803186504217432,0.9814326569772102,0.9803186504217432,0.9804199165564247
80-20,Random Forest,0.9878163074039362,0.988204333765259,0.9878163074039362,0.9877862119254956
80-20,KNN,0.9765698219306467,0.9784263340076426,0.9765698219306467,0.976561100496387
80-20,Logistic Regression,0.9953139643861293,0.9953217261917661,0.9953139643861293,0.9953112584591942
80-20,SVM,0.9971883786316776,0.9971972621115143,0.9971883786316776,0.9971864578426907
80-20,Naive Bayes,0.6938967136150235,0.7549566968507556,0.6938967136150235,0.6974343873593538
80-20,Decision Tree,0.8704225352112676,0.8749456877414513,0.8704225352112676,0.8710909938211979
80-20,XGBoost,0.9107981220657277,0.9121871672935701,0.9107981220657277,0.9109983062691465
80-20,Random Forest,0.9014084507042254,0.9060300396537805,0.9014084507042254,0.9024762856161914
80-20,KNN,0.9032863849765258,0.9078991442052261,0.9032863849765258,0.9036890697187573
80-20,Logistic Regression,0.9455399061032864,0.9466869800330929,0.9455399061032864,0.9455533522045626
80-20,SVM,0.952112676056338,0.953167908345261,0.952112676056338,0.9519398637469176
80-20,Naive Bayes,0.7228571428571429,0.7782734842769287,0.7228571428571429,0.7234356993150381
80-20,Decision Tree,0.8685714285714285,0.8700023639598796,0.8685714285714285,0.868413313916722
80-20,XGBoost,0.9428571428571428,0.9466971164245661,0.9428571428571428,0.9427100981850541
80-20,Random Forest,0.9447619047619048,0.9459330409444442,0.9447619047619048,0.9445586808495525
80-20,KNN,0.9619047619047619,0.9627053440174359,0.9619047619047619,0.9619743439976012
80-20,Logistic Regression,0.9809523809523809,0.9816070407750738,0.9809523809523809,0.9810087456977061
80-20,SVM,0.9838095238095238,0.9841622961697941,0.9838095238095238,0.9837825754919424
