Data_Size,Model,Accuracy,Precision,Recall,F1
60%,XGBoost,0.9234449760765551,0.9380351705710557,0.9234449760765551,0.9217626578043953
60%,Random Forest,0.9744816586921851,0.9800778169199221,0.9744816586921851,0.972528113049064
60%,KNN,0.8660287081339713,0.9038802416792846,0.8660287081339713,0.8630955454240447
60%,Logistic Regression,0.8389154704944178,0.8717209292568142,0.8389154704944178,0.8329250187517918
60%,SVM,0.9170653907496013,0.9338039021053376,0.9170653907496013,0.911923928175691
80%,Naive Bayes,0.27718040621266427,0.38666290022972793,0.27718040621266427,0.2782331362436071
80%,Decision Tree,0.8219832735961768,0.8417523403186484,0.8219832735961768,0.8196584856080136
80%,XGBoost,0.9354838709677419,0.943387377258345,0.9354838709677419,0.9351751135465407
80%,Random Forest,0.97610513739546,0.9798767242315629,0.97610513739546,0.9763890714891129
80%,KNN,0.951015531660693,0.9587990978223954,0.951015531660693,0.9508220590970992
80%,Logistic Regression,0.8817204301075269,0.8994203841426066,0.8817204301075269,0.8820423092284577
80%,SVM,0.953405017921147,0.9610401247498023,0.953405017921147,0.9516563232972319
80%,Naive Bayes,0.2939068100358423,0.37556736602163127,0.2939068100358423,0.28674407121312556
80%,Decision Tree,0.8327359617682198,0.8462445194524048,0.8327359617682198,0.8311898513736704
80%,XGBoost,0.9498207885304659,0.9557299961421827,0.9498207885304659,0.948995194207292
80%,Random Forest,0.983273596176822,0.9853585250538657,0.983273596176822,0.9829320740855054
80%,KNN,0.954599761051374,0.9612139834810085,0.954599761051374,0.953292569081318
80%,Logistic Regression,0.9151732377538829,0.927439224123812,0.9151732377538829,0.9139149502696214
80%,SVM,0.965352449223417,0.9691952080840971,0.965352449223417,0.9646511337010861
80%,Naive Bayes,0.2843488649940263,0.3720699989103457,0.2843488649940263,0.2820725882523117
80%,Decision Tree,0.8315412186379928,0.8529825994668921,0.8315412186379928,0.8319716181014158
80%,XGBoost,0.955794504181601,0.9608874884807839,0.955794504181601,0.9555542946238779
80%,Random Forest,0.985663082437276,0.9871925863861348,0.985663082437276,0.9856957222478342
80%,KNN,0.951015531660693,0.9598245173324924,0.951015531660693,0.9496756375228523
80%,Logistic Regression,0.8900836320191159,0.9069786264655157,0.8900836320191159,0.8884498587010341
80%,SVM,0.951015531660693,0.9605137295997511,0.951015531660693,0.9496841601150673
100%,Naive Bayes,0.28776290630975143,0.3735992581116417,0.28776290630975143,0.28086358617491397
100%,Decision Tree,0.8575525812619503,0.8739577805409827,0.8575525812619503,0.8559408774540684
100%,XGBoost,0.9502868068833652,0.9528902144700424,0.9502868068833652,0.949436586613333
100%,Random Forest,0.9837476099426387,0.9852584583464126,0.9837476099426387,0.983644679496038
100%,KNN,0.9655831739961759,0.9694717076528742,0.9655831739961759,0.9656631489202779
100%,Logistic Regression,0.9149139579349904,0.9243538236248562,0.9149139579349904,0.9147839696114197
100%,SVM,0.9684512428298279,0.9729461994877865,0.9684512428298279,0.968546245365868
100%,Naive Bayes,0.27055449330783937,0.34616492133229093,0.27055449330783937,0.2654171086806517
100%,Decision Tree,0.8594646271510517,0.8743665301836562,0.8594646271510517,0.8575673410208992
100%,XGBoost,0.9464627151051626,0.9522587143046034,0.9464627151051626,0.9465666980834712
100%,Random Forest,0.9875717017208413,0.9890823458462082,0.9875717017208413,0.9875579551610197
100%,KNN,0.9655831739961759,0.970651494623141,0.9655831739961759,0.9652481440187499
100%,Logistic Regression,0.9254302103250478,0.9345059802348812,0.9254302103250478,0.9239166728896903
100%,SVM,0.9608030592734226,0.9667749421812519,0.9608030592734226,0.9603095257777535
100%,Naive Bayes,0.29923518164435947,0.3833164330200429,0.29923518164435947,0.2950309055861809
100%,Decision Tree,0.8479923518164436,0.8617399064706068,0.8479923518164436,0.8477597934061113
100%,XGBoost,0.9550669216061185,0.9580589158027016,0.9550669216061185,0.9546552946652932
100%,Random Forest,0.9875717017208413,0.989011816736482,0.9875717017208413,0.9875519729828651
100%,KNN,0.9617590822179732,0.967189175406755,0.9617590822179732,0.960858381230514
100%,Logistic Regression,0.9282982791586998,0.9387986323215769,0.9282982791586998,0.9272775062905125
100%,SVM,0.9646271510516252,0.9682981882868004,0.9646271510516252,0.9640259771414683
